"source","target","value"
"Brevard","Indian River",56.75
"Brevard","Orange",89.96
"Indian River","Brevard",61.28
"Orange","Brevard",1575.73
"Orange","Indian River",93.96
"Orange","Lake",3793.41
"Orange","Osceola",1334.37
"Orange","Polk",1583.63
"Orange","Seminole",2623.64
"Orange","Sumter",514.47
"Orange","Volusia",1548.12
"Osceola","Brevard",390.43
"Osceola","Indian River",29.42
"Osceola","Lake",186.99
"Osceola","Orange",3086.7
"Osceola","Polk",1767.02
"Osceola","Seminole",123.83
"Osceola","Sumter",7.86
"Osceola","Volusia",84.66
"Polk","Orange",175.96
"Polk","Osceola",72.13
"Seminole","Brevard",433.48
"Seminole","Lake",728.99
"Seminole","Orange",4844.41
"Seminole","Osceola",28.15
"Seminole","Polk",385.4
"Seminole","Sumter",331.43
"Seminole","Volusia",1970.62
