"source","target","value"
"Brevard","Orange",28.02
"Brevard","Volusia",26.08
"Lake","Orange",148.97
"Lake","Osceola",27
"Lake","Seminole",27
"Lake","Volusia",28.75
"Orange","Brevard",4072.46
"Orange","Indian River",169.73
"Orange","Lake",8227.42
"Orange","Osceola",22439.53
"Orange","Polk",4142.33
"Orange","Seminole",49098.9
"Orange","Sumter",349.58
"Orange","Volusia",3871.37
"Osceola","Brevard",754.65
"Osceola","Indian River",43.6
"Osceola","Lake",808.55
"Osceola","Orange",38152.97
"Osceola","Polk",2137.81
"Osceola","Seminole",1205.58
"Osceola","Sumter",221.88
"Osceola","Volusia",317.08
"Polk","Lake",13.19
"Polk","Orange",22.19
"Polk","Osceola",240.63
"Seminole","Brevard",1666.05
"Seminole","Indian River",207.07
"Seminole","Lake",1784.03
"Seminole","Orange",61756.33
"Seminole","Osceola",1899.94
"Seminole","Polk",686.82
"Seminole","Sumter",154.84
"Seminole","Volusia",5262.75
"Sumter","Lake",47.9
"Volusia","Orange",67.73
"Volusia","Seminole",62.65
