"source","target","value"
"Brevard","Indian River",128.77
"Brevard","Orange",15272.84
"Brevard","Osceola",1872.47
"Brevard","Seminole",1446
"Indian River","Orange",42.65
"Indian River","Osceola",93.34
"Lake","Orange",58679.89
"Lake","Osceola",6256.23
"Lake","Polk",45.66
"Lake","Seminole",10829.37
"Lake","Sumter",80.18
"Orange","Seminole",202.31
"Osceola","Lake",23.25
"Osceola","Orange",476.07
"Osceola","Seminole",39.48
"Polk","Lake",46.5
"Polk","Orange",36241.02
"Polk","Osceola",22088.35
"Polk","Seminole",896.61
"Seminole","Orange",37.45
"Sumter","Orange",858.14
"Sumter","Seminole",108.18
"Volusia","Orange",28415.56
"Volusia","Osceola",357.42
"Volusia","Seminole",49519.77
