"source","target","value"
"Brevard","Orange",52.16
"Brevard","Osceola",66.3
"Lake","Orange",115.39
"Lake","Seminole",139.71
"Orange","Brevard",27.96
"Orange","Lake",191.5
"Orange","Osceola",64023.33
"Orange","Polk",484.42
"Orange","Seminole",120398.53
"Osceola","Orange",138057.77
"Osceola","Polk",374.27
"Osceola","Seminole",2600.48
"Polk","Orange",195.33
"Polk","Osceola",521.6
"Seminole","Orange",230570.74
"Seminole","Osceola",2989.49
"Seminole","Volusia",56.96
"Volusia","Orange",135.46
"Volusia","Seminole",120.08
