"source","target","value"
"Brevard","Indian River",7023.75
"Brevard","Lake",207.46
"Brevard","Polk",71.52
"Brevard","Volusia",1703.48
"Indian River","Brevard",4697.29
"Indian River","Polk",76.1
"Indian River","Volusia",38.85
"Lake","Brevard",338.93
"Lake","Orange",229.82
"Lake","Osceola",167.4
"Lake","Polk",2244.19
"Lake","Sumter",17711.92
"Lake","Volusia",3802.73
"Orange","Lake",129.66
"Orange","Volusia",35.27
"Osceola","Lake",57.46
"Osceola","Polk",151.5
"Polk","Brevard",300.28
"Polk","Indian River",75.11
"Polk","Lake",2849.36
"Polk","Osceola",722.41
"Polk","Sumter",49.71
"Polk","Volusia",506.66
"Sumter","Lake",10314.39
"Sumter","Polk",103.12
"Volusia","Brevard",1699.83
"Volusia","Lake",2304.38
"Volusia","Polk",573.7
"Volusia","Seminole",102.96
"Volusia","Sumter",171.75
