"source","target","value"
"Brevard","Indian River",25401.12
"Brevard","Lake",3359.91
"Brevard","Orange",117418.85
"Brevard","Osceola",23073.85
"Brevard","Polk",7800.54
"Brevard","Seminole",6892.5
"Brevard","Sumter",2808.95
"Brevard","Volusia",36284.99
"Indian River","Brevard",25516.3
"Indian River","Lake",1705.8
"Indian River","Orange",21147.97
"Indian River","Osceola",4370.92
"Indian River","Polk",3368.52
"Indian River","Seminole",1770.1
"Indian River","Sumter",1157.21
"Indian River","Volusia",7262.75
"Lake","Brevard",3770.37
"Lake","Indian River",1158.13
"Lake","Orange",77895.64
"Lake","Osceola",17816.32
"Lake","Polk",13362.95
"Lake","Seminole",9901.1
"Lake","Sumter",55067.77
"Lake","Volusia",15613.25
"Orange","Brevard",121643.31
"Orange","Indian River",25231.56
"Orange","Lake",76708.32
"Orange","Osceola",740030.94
"Orange","Polk",177150
"Orange","Seminole",118890.36
"Orange","Sumter",44499.35
"Orange","Volusia",114198.42
"Osceola","Brevard",22251.27
"Osceola","Indian River",4932.42
"Osceola","Lake",17397.13
"Osceola","Orange",780041.64
"Osceola","Polk",67930.01
"Osceola","Seminole",9934.58
"Osceola","Sumter",7858.81
"Osceola","Volusia",16902.76
"Polk","Brevard",9428.26
"Polk","Indian River",3495.95
"Polk","Lake",14837.35
"Polk","Orange",189398.2
"Polk","Osceola",68874.97
"Polk","Seminole",8970.89
"Polk","Sumter",9445.27
"Polk","Volusia",15233.27
"Seminole","Brevard",10692.45
"Seminole","Indian River",2064.85
"Seminole","Lake",9058.39
"Seminole","Orange",142975.53
"Seminole","Osceola",13804.85
"Seminole","Polk",9725.49
"Seminole","Sumter",3636.38
"Seminole","Volusia",42170.19
"Sumter","Brevard",2577.81
"Sumter","Indian River",973.33
"Sumter","Lake",50786.32
"Sumter","Orange",49877.42
"Sumter","Osceola",9462.36
"Sumter","Polk",9255.44
"Sumter","Seminole",3371.77
"Sumter","Volusia",2194.96
"Volusia","Brevard",31169.83
"Volusia","Indian River",6256.97
"Volusia","Lake",16705.55
"Volusia","Orange",123542.06
"Volusia","Osceola",21178.94
"Volusia","Polk",14698.07
"Volusia","Seminole",37280.22
"Volusia","Sumter",1916.59
