"source","target","value"
"Brevard","Indian River",2443.96
"Brevard","Lake",188.12
"Brevard","Orange",4947.07
"Brevard","Osceola",1176.73
"Brevard","Polk",304.59
"Brevard","Seminole",666.04
"Brevard","Sumter",21.17
"Brevard","Volusia",1151.08
"Indian River","Brevard",2430.38
"Indian River","Orange",79.83
"Indian River","Osceola",147.1
"Indian River","Polk",138.61
"Indian River","Seminole",72.07
"Lake","Brevard",130.25
"Lake","Orange",17227.68
"Lake","Osceola",1304.18
"Lake","Polk",1900.51
"Lake","Seminole",4163.97
"Lake","Sumter",9273.42
"Lake","Volusia",1827.19
"Orange","Brevard",5237.98
"Orange","Indian River",271.5
"Orange","Lake",12868.66
"Orange","Osceola",23326.54
"Orange","Polk",5971.1
"Orange","Seminole",48568.13
"Orange","Sumter",500.45
"Orange","Volusia",5487.87
"Osceola","Brevard",733.76
"Osceola","Indian River",30.89
"Osceola","Lake",1111.79
"Osceola","Orange",38121.91
"Osceola","Polk",5706.05
"Osceola","Seminole",1150.88
"Osceola","Sumter",82.48
"Osceola","Volusia",212.33
"Polk","Brevard",142.31
"Polk","Lake",1255.51
"Polk","Orange",9554.63
"Polk","Osceola",4857.04
"Polk","Seminole",836.67
"Polk","Sumter",170.6
"Polk","Volusia",277.05
"Seminole","Brevard",833.78
"Seminole","Indian River",81.22
"Seminole","Lake",2592.64
"Seminole","Orange",64906.73
"Seminole","Osceola",1251.21
"Seminole","Polk",517.81
"Seminole","Sumter",162.96
"Seminole","Volusia",8562.09
"Sumter","Lake",7395.2
"Sumter","Orange",455.95
"Sumter","Osceola",156.66
"Sumter","Polk",212.32
"Sumter","Seminole",326.53
"Sumter","Volusia",7.9
"Volusia","Brevard",770.15
"Volusia","Lake",879.61
"Volusia","Orange",7532.59
"Volusia","Osceola",86.8
"Volusia","Polk",280.54
"Volusia","Seminole",13483.54
"Volusia","Sumter",207.33
