"source","target","value"
"Brevard","Indian River",32.45
"Lake","Orange",105.76
"Lake","Sumter",111.44
"Lake","Volusia",60.41
"Orange","Brevard",56.36
"Orange","Lake",362.62
"Orange","Osceola",909.65
"Orange","Polk",182.09
"Orange","Seminole",1133.44
"Orange","Sumter",68.9
"Orange","Volusia",262.44
"Osceola","Lake",22.2
"Osceola","Orange",467.42
"Osceola","Polk",121.7
"Osceola","Seminole",52.92
"Polk","Osceola",8.24
"Seminole","Orange",654.84
"Seminole","Polk",35.24
"Seminole","Volusia",141.09
"Volusia","Orange",184.32
"Volusia","Seminole",79.48
