"source","target","value"
"Brevard","Indian River",156.03
"Brevard","Lake",35.11
"Brevard","Orange",14107.04
"Brevard","Osceola",3446.22
"Brevard","Polk",40.45
"Brevard","Seminole",4352.23
"Brevard","Volusia",511.23
"Indian River","Brevard",508.61
"Indian River","Orange",1008.75
"Indian River","Osceola",318.11
"Indian River","Polk",41.79
"Indian River","Seminole",339.81
"Indian River","Volusia",68.63
"Lake","Brevard",16.63
"Lake","Orange",33798.32
"Lake","Osceola",4241.62
"Lake","Polk",478.14
"Lake","Seminole",8029.92
"Lake","Sumter",1564.17
"Lake","Volusia",417.46
"Orange","Brevard",16835.51
"Orange","Indian River",1118.8
"Orange","Lake",36392.77
"Orange","Osceola",452929.45
"Orange","Polk",21100.05
"Orange","Seminole",810162.41
"Orange","Sumter",2711.45
"Orange","Volusia",19822.3
"Osceola","Brevard",3813.14
"Osceola","Indian River",285.78
"Osceola","Lake",3946.07
"Osceola","Orange",440987.95
"Osceola","Polk",14980.57
"Osceola","Seminole",17149.7
"Osceola","Sumter",440.45
"Osceola","Volusia",1303.09
"Polk","Brevard",180.18
"Polk","Lake",838.74
"Polk","Orange",18791.47
"Polk","Osceola",14785.01
"Polk","Seminole",2939.01
"Polk","Sumter",105.11
"Polk","Volusia",117.35
"Seminole","Brevard",4185.21
"Seminole","Indian River",420.95
"Seminole","Lake",8834.58
"Seminole","Orange",786448.85
"Seminole","Osceola",18219.64
"Seminole","Polk",3321.81
"Seminole","Sumter",920.35
"Seminole","Volusia",24906.72
"Sumter","Lake",1212.07
"Sumter","Orange",2752
"Sumter","Osceola",343.26
"Sumter","Polk",162.04
"Sumter","Seminole",780.94
"Sumter","Volusia",57.51
"Volusia","Brevard",287.32
"Volusia","Indian River",68.63
"Volusia","Lake",384.85
"Volusia","Orange",16210.86
"Volusia","Osceola",1515.86
"Volusia","Polk",22.14
"Volusia","Seminole",20589.33
