"source","target","value"
"Brevard","Indian River",14328.67
"Brevard","Lake",956.32
"Brevard","Orange",32167.09
"Brevard","Osceola",3529.94
"Brevard","Polk",1633.34
"Brevard","Seminole",4130.65
"Brevard","Sumter",45.79
"Brevard","Volusia",4539.98
"Indian River","Brevard",11848.78
"Indian River","Lake",152.84
"Indian River","Orange",3484.99
"Indian River","Osceola",554.53
"Indian River","Polk",555.64
"Indian River","Seminole",355.4
"Indian River","Sumter",79.84
"Indian River","Volusia",567.71
"Lake","Brevard",1483.79
"Lake","Indian River",269.62
"Lake","Orange",69507.4
"Lake","Osceola",6228
"Lake","Polk",6129.52
"Lake","Seminole",16177.52
"Lake","Sumter",28707.12
"Lake","Volusia",10570.93
"Orange","Lake",667.54
"Orange","Seminole",40.95
"Orange","Sumter",23.47
"Osceola","Brevard",22.61
"Osceola","Lake",119.38
"Osceola","Orange",452.24
"Osceola","Polk",376.07
"Polk","Brevard",2272.53
"Polk","Indian River",432.93
"Polk","Lake",8472.81
"Polk","Orange",50598.55
"Polk","Osceola",44306.11
"Polk","Seminole",3002.65
"Polk","Sumter",1304.03
"Polk","Volusia",1864.22
"Seminole","Orange",55.56
"Seminole","Volusia",200.05
"Sumter","Brevard",226.2
"Sumter","Lake",30297.43
"Sumter","Orange",4323.77
"Sumter","Osceola",333.14
"Sumter","Polk",837.49
"Sumter","Seminole",351.62
"Sumter","Volusia",568.02
"Volusia","Brevard",5907.9
"Volusia","Indian River",47.22
"Volusia","Lake",7039.42
"Volusia","Orange",37122.83
"Volusia","Osceola",2014.08
"Volusia","Polk",2087.79
"Volusia","Seminole",61014.95
"Volusia","Sumter",458.98
