"source","target","value"
"Brevard","Indian River",42.54
"Brevard","Orange",8574.63
"Brevard","Osceola",1124.03
"Brevard","Seminole",2088.03
"Indian River","Brevard",52.08
"Indian River","Orange",121.48
"Indian River","Osceola",452.63
"Lake","Orange",29450.59
"Lake","Osceola",2369.25
"Lake","Polk",9.51
"Lake","Seminole",4418.39
"Lake","Sumter",204.34
"Osceola","Orange",196.05
"Osceola","Polk",7.34
"Polk","Orange",12828.53
"Polk","Osceola",13074.39
"Polk","Seminole",184.02
"Sumter","Orange",1008.94
"Sumter","Osceola",152.28
"Sumter","Seminole",132.58
"Volusia","Orange",8157.63
"Volusia","Osceola",445.72
"Volusia","Seminole",20315.89
