"source","target","value"
"Brevard","Orange",121.31
"Lake","Orange",391.73
"Lake","Osceola",6.08
"Orange","Brevard",216.53
"Orange","Lake",175.78
"Orange","Osceola",135904.13
"Orange","Polk",255.56
"Orange","Seminole",235466.87
"Orange","Volusia",39.79
"Osceola","Brevard",106.69
"Osceola","Orange",68421.14
"Osceola","Polk",547.77
"Osceola","Seminole",3192.49
"Polk","Orange",216.51
"Polk","Osceola",571.95
"Seminole","Lake",39.76
"Seminole","Orange",125141.19
"Seminole","Osceola",2670.81
"Seminole","Volusia",170.44
"Volusia","Orange",6.63
