"source","target","value"
"Brevard","Lake",43.9
"Brevard","Orange",28.54
"Brevard","Volusia",77.44
"Indian River","Brevard",49.27
"Lake","Orange",301.64
"Orange","Brevard",8279.04
"Orange","Lake",28406.44
"Orange","Osceola",6323.43
"Orange","Polk",17177.51
"Orange","Seminole",7201.93
"Orange","Sumter",902.88
"Orange","Volusia",14872.59
"Osceola","Brevard",1439.74
"Osceola","Indian River",195.69
"Osceola","Lake",3202
"Osceola","Orange",3323.51
"Osceola","Polk",8423.06
"Osceola","Seminole",41.8
"Osceola","Sumter",88.09
"Osceola","Volusia",118.08
"Polk","Orange",28.37
"Polk","Osceola",245.65
"Seminole","Brevard",935.8
"Seminole","Lake",6584.99
"Seminole","Orange",4618.01
"Seminole","Osceola",245.99
"Seminole","Polk",824.91
"Seminole","Sumter",198
"Seminole","Volusia",26447.59
"Sumter","Lake",116.79
"Volusia","Orange",174.23
