"source","target","value"
"Brevard","Indian River",32.32
"Brevard","Orange",413.2
"Brevard","Seminole",99.76
"Indian River","Brevard",185.67
"Indian River","Orange",152.02
"Lake","Orange",396.99
"Lake","Seminole",162.97
"Lake","Volusia",41.04
"Orange","Brevard",16307.74
"Orange","Indian River",1263.9
"Orange","Lake",40269.32
"Orange","Osceola",74057.2
"Orange","Polk",17096.18
"Orange","Seminole",162652.73
"Orange","Sumter",1881.53
"Orange","Volusia",16622.51
"Osceola","Brevard",3462.79
"Osceola","Indian River",427.03
"Osceola","Lake",3758.24
"Osceola","Orange",132962.52
"Osceola","Polk",14680.24
"Osceola","Seminole",4968.74
"Osceola","Sumter",116.59
"Osceola","Volusia",1403.43
"Polk","Lake",32.67
"Polk","Orange",259.32
"Polk","Osceola",1102.16
"Polk","Seminole",9.27
"Seminole","Brevard",4430.18
"Seminole","Indian River",344.97
"Seminole","Lake",6534.71
"Seminole","Orange",218158.28
"Seminole","Osceola",5194.95
"Seminole","Polk",3036.2
"Seminole","Sumter",578.96
"Seminole","Volusia",22763.04
"Sumter","Lake",412.46
"Sumter","Orange",30.41
"Volusia","Brevard",23.81
"Volusia","Indian River",66.17
"Volusia","Orange",203.06
"Volusia","Osceola",27.94
"Volusia","Seminole",103.65
