"source","target","value"
"Brevard","Indian River",93.72
"Brevard","Lake",29.65
"Brevard","Orange",2871.67
"Brevard","Osceola",222.41
"Brevard","Polk",187.52
"Brevard","Seminole",428.94
"Brevard","Volusia",104.19
"Indian River","Brevard",170.91
"Indian River","Orange",52.2
"Indian River","Osceola",78.21
"Lake","Brevard",205.29
"Lake","Orange",13749.6
"Lake","Osceola",1482.23
"Lake","Polk",993.8
"Lake","Seminole",2219.79
"Lake","Sumter",663.62
"Lake","Volusia",510.62
"Orange","Lake",161.08
"Orange","Osceola",17.72
"Osceola","Lake",38.73
"Osceola","Orange",305.95
"Osceola","Polk",65.02
"Osceola","Seminole",47.83
"Polk","Brevard",17.37
"Polk","Lake",1148.83
"Polk","Orange",10139.48
"Polk","Osceola",7361.89
"Polk","Seminole",609.29
"Polk","Sumter",78.61
"Polk","Volusia",225.04
"Seminole","Orange",36.46
"Seminole","Volusia",30.4
"Sumter","Lake",762.73
"Sumter","Orange",312.1
"Sumter","Osceola",129.3
"Sumter","Polk",145.9
"Sumter","Seminole",58.16
"Sumter","Volusia",21.71
"Volusia","Brevard",454.34
"Volusia","Lake",406.89
"Volusia","Orange",6734.78
"Volusia","Osceola",563.07
"Volusia","Polk",203.75
"Volusia","Seminole",9528.71
"Volusia","Sumter",162.4
