"source","target","value"
"Brevard","Indian River",66.81
"Brevard","Orange",65.85
"Brevard","Volusia",71.53
"Lake","Orange",31.68
"Lake","Sumter",62.84
"Orange","Brevard",1813.32
"Orange","Indian River",110
"Orange","Lake",6868.87
"Orange","Osceola",2058.97
"Orange","Polk",2157.91
"Orange","Seminole",3247.7
"Orange","Sumter",549.48
"Orange","Volusia",1994.4
"Osceola","Brevard",563.42
"Osceola","Indian River",81.5
"Osceola","Lake",315.77
"Osceola","Orange",3851.48
"Osceola","Polk",2510.85
"Osceola","Seminole",293.76
"Osceola","Sumter",17.29
"Osceola","Volusia",81.33
"Polk","Lake",7.34
"Polk","Orange",13.25
"Polk","Osceola",100.54
"Seminole","Brevard",630.82
"Seminole","Lake",1174.83
"Seminole","Orange",5842.28
"Seminole","Osceola",63.33
"Seminole","Polk",766.2
"Seminole","Sumter",162.49
"Seminole","Volusia",2462.85
"Sumter","Lake",43.39
"Volusia","Orange",32.18
