"source","target","value"
"Brevard","Orange",18746.22
"Brevard","Osceola",2024.04
"Brevard","Seminole",1882.66
"Indian River","Orange",42.65
"Indian River","Osceola",171.55
"Lake","Brevard",20.49
"Lake","Orange",75055.67
"Lake","Osceola",8280.72
"Lake","Seminole",13607.28
"Lake","Sumter",33.55
"Orange","Seminole",194.5
"Osceola","Lake",23.25
"Osceola","Orange",572.42
"Polk","Lake",23.25
"Polk","Orange",44402.78
"Polk","Osceola",26724.27
"Polk","Seminole",1164.79
"Sumter","Orange",1079.29
"Sumter","Osceola",92.49
"Sumter","Seminole",108.18
"Volusia","Orange",33507.98
"Volusia","Osceola",316.61
"Volusia","Seminole",59985.02
