"source","target","value"
"Brevard","Orange",62.51
"Brevard","Polk",33.45
"Brevard","Seminole",84.55
"Indian River","Brevard",89.44
"Lake","Orange",47.97
"Lake","Osceola",25.01
"Lake","Sumter",39.06
"Lake","Volusia",130.18
"Orange","Brevard",119.98
"Orange","Lake",172.44
"Orange","Osceola",381.75
"Orange","Polk",72.47
"Orange","Seminole",560.09
"Orange","Volusia",152.11
"Osceola","Orange",832.31
"Osceola","Polk",62.32
"Polk","Orange",345.61
"Polk","Osceola",33.75
"Seminole","Lake",56.16
"Seminole","Orange",956.41
"Seminole","Volusia",208.1
"Sumter","Lake",118.1
"Sumter","Orange",14.18
"Volusia","Orange",193.25
"Volusia","Seminole",194.97
