"source","target","value"
"Brevard","Indian River",85.02
"Brevard","Lake",95.4
"Brevard","Seminole",59.36
"Brevard","Volusia",94.12
"Indian River","Brevard",41.58
"Indian River","Lake",32.21
"Lake","Orange",88.95
"Lake","Polk",148.93
"Lake","Sumter",1305.58
"Lake","Volusia",112.09
"Orange","Brevard",3570.78
"Orange","Indian River",22.01
"Orange","Lake",8345.69
"Orange","Osceola",45
"Orange","Polk",3374.83
"Orange","Sumter",338.57
"Orange","Volusia",2528.99
"Osceola","Brevard",686.77
"Osceola","Indian River",6.45
"Osceola","Lake",1076.82
"Osceola","Polk",3064.55
"Osceola","Volusia",491.2
"Polk","Lake",29.94
"Polk","Osceola",97.37
"Polk","Volusia",95.4
"Seminole","Brevard",431.93
"Seminole","Lake",1015.29
"Seminole","Polk",684.41
"Seminole","Sumter",149.08
"Seminole","Volusia",5755.63
"Sumter","Brevard",43.85
"Sumter","Lake",979.6
"Sumter","Polk",37.21
"Volusia","Brevard",78.82
"Volusia","Lake",379.57
"Volusia","Polk",159.97
"Volusia","Seminole",29.68
