"source","target","value"
"Brevard","Orange",2600
"Brevard","Osceola",573.4
"Brevard","Seminole",424.42
"Indian River","Orange",230.32
"Indian River","Osceola",74.06
"Lake","Orange",5863.1
"Lake","Osceola",424.86
"Lake","Polk",6.99
"Lake","Seminole",1204.93
"Lake","Sumter",66.67
"Orange","Brevard",84.11
"Orange","Lake",104.06
"Orange","Osceola",26345.65
"Orange","Polk",63.72
"Orange","Seminole",52766.32
"Orange","Volusia",18.83
"Osceola","Orange",42619.52
"Osceola","Polk",183.51
"Osceola","Seminole",896.78
"Polk","Orange",3557.48
"Polk","Osceola",2461.08
"Polk","Seminole",286.87
"Seminole","Orange",75150.99
"Seminole","Osceola",1179.85
"Seminole","Sumter",71.53
"Sumter","Orange",339.01
"Sumter","Osceola",70.14
"Sumter","Seminole",71.29
"Volusia","Orange",2400.91
"Volusia","Osceola",300.24
"Volusia","Seminole",4420.41
