"source","target","value"
"Indian River","Brevard",110.08
"Lake","Osceola",23.25
"Lake","Polk",23.25
"Orange","Brevard",15076.78
"Orange","Indian River",42.65
"Orange","Lake",61420.65
"Orange","Osceola",655.29
"Orange","Polk",33730.26
"Orange","Seminole",31.89
"Orange","Sumter",883.46
"Orange","Volusia",26353.6
"Osceola","Brevard",1878.03
"Osceola","Indian River",171.55
"Osceola","Lake",6714.39
"Osceola","Polk",20007.93
"Osceola","Sumter",92.49
"Osceola","Volusia",316.61
"Polk","Lake",149.76
"Seminole","Brevard",1243.86
"Seminole","Lake",10023.84
"Seminole","Orange",169.18
"Seminole","Polk",1040.47
"Seminole","Sumter",108.18
"Seminole","Volusia",49028.62
"Sumter","Lake",96.35
