"source","target","value"
"Brevard","Indian River",75.37
"Brevard","Orange",8728.35
"Brevard","Osceola",1160.41
"Brevard","Seminole",2182.08
"Indian River","Orange",91.11
"Indian River","Osceola",442.57
"Lake","Orange",30275.18
"Lake","Osceola",2325
"Lake","Polk",27.12
"Lake","Seminole",4602.53
"Lake","Sumter",370.96
"Osceola","Orange",239.1
"Osceola","Polk",7.34
"Polk","Orange",13369.7
"Polk","Osceola",11765.02
"Polk","Seminole",620.69
"Sumter","Orange",712.27
"Sumter","Osceola",228.42
"Sumter","Seminole",120.32
"Volusia","Orange",7584.25
"Volusia","Osceola",705.92
"Volusia","Seminole",20793.95
