"source","target","value"
"Brevard","Orange",95.93
"Lake","Orange",401.59
"Orange","Brevard",98.96
"Orange","Lake",234.08
"Orange","Osceola",133576.23
"Orange","Polk",236.37
"Orange","Seminole",233288.76
"Orange","Sumter",41.19
"Orange","Volusia",145.42
"Osceola","Brevard",91.9
"Osceola","Orange",65539.36
"Osceola","Polk",413.6
"Osceola","Seminole",3161.06
"Polk","Orange",67.37
"Polk","Osceola",332.62
"Seminole","Lake",38.85
"Seminole","Orange",119938.02
"Seminole","Osceola",2850.11
"Seminole","Volusia",292.66
"Volusia","Orange",6.63
