"source","target","value"
"Brevard","Indian River",4987.51
"Brevard","Lake",368.74
"Brevard","Orange",8824.28
"Brevard","Osceola",1160.41
"Brevard","Polk",140.32
"Brevard","Seminole",2182.08
"Brevard","Volusia",2017.38
"Indian River","Brevard",7970.58
"Indian River","Orange",91.11
"Indian River","Osceola",442.57
"Indian River","Polk",15.62
"Lake","Brevard",194.44
"Lake","Orange",31005.29
"Lake","Osceola",2368.76
"Lake","Polk",3201.19
"Lake","Seminole",4602.53
"Lake","Sumter",10664.4
"Lake","Volusia",2610.56
"Orange","Brevard",15263.02
"Orange","Indian River",42.65
"Orange","Lake",62203.21
"Orange","Osceola",135132.37
"Orange","Polk",34091.83
"Orange","Seminole",235294.84
"Orange","Sumter",1062.45
"Orange","Volusia",26765.18
"Osceola","Brevard",1969.93
"Osceola","Indian River",211.27
"Osceola","Lake",6858.05
"Osceola","Orange",66335.06
"Osceola","Polk",21341.31
"Osceola","Seminole",3161.06
"Osceola","Sumter",92.49
"Osceola","Volusia",316.61
"Polk","Brevard",107.28
"Polk","Lake",2385.52
"Polk","Orange",13437.07
"Polk","Osceola",12375.04
"Polk","Seminole",620.69
"Polk","Sumter",90.88
"Polk","Volusia",443.93
"Seminole","Brevard",1328.41
"Seminole","Lake",10062.69
"Seminole","Orange",120898.16
"Seminole","Osceola",2850.11
"Seminole","Polk",1040.47
"Seminole","Sumter",108.18
"Seminole","Volusia",49878.93
"Sumter","Lake",19722.92
"Sumter","Orange",712.27
"Sumter","Osceola",228.42
"Sumter","Polk",114.4
"Sumter","Seminole",120.32
"Sumter","Volusia",104.08
"Volusia","Brevard",2178.19
"Volusia","Indian River",41.23
"Volusia","Lake",3833.46
"Volusia","Orange",7758.39
"Volusia","Osceola",705.92
"Volusia","Polk",581.42
"Volusia","Seminole",20970.44
"Volusia","Sumter",57.4
