"source","target","value"
"Brevard","Indian River",408.36
"Brevard","Volusia",114.98
"Indian River","Brevard",360.83
"Indian River","Osceola",39.72
"Lake","Orange",281.89
"Lake","Polk",15.2
"Lake","Seminole",31.09
"Lake","Sumter",1216.21
"Lake","Volusia",44.84
"Orange","Lake",362.98
"Orange","Osceola",2043.21
"Orange","Polk",160.3
"Orange","Seminole",2886.68
"Osceola","Lake",66.92
"Osceola","Orange",2223.12
"Osceola","Polk",1008.41
"Polk","Lake",16.68
"Polk","Orange",160.3
"Polk","Osceola",917.23
"Seminole","Lake",41.86
"Seminole","Orange",2945.06
"Seminole","Volusia",143.45
"Sumter","Lake",1704.66
"Volusia","Brevard",114.98
"Volusia","Seminole",72.14
