"source","target","value"
"Brevard","Indian River",30744.27
"Brevard","Lake",3825.37
"Brevard","Orange",114724.81
"Brevard","Osceola",20933.52
"Brevard","Polk",8501.16
"Brevard","Seminole",6974.66
"Brevard","Sumter",1758.51
"Brevard","Volusia",34530.82
"Indian River","Brevard",30319.56
"Indian River","Lake",1189.81
"Indian River","Orange",23787.48
"Indian River","Osceola",3957.03
"Indian River","Polk",3440.01
"Indian River","Seminole",1866.28
"Indian River","Sumter",774.21
"Indian River","Volusia",6724.17
"Lake","Brevard",3657.62
"Lake","Indian River",841.86
"Lake","Orange",88394.29
"Lake","Osceola",17731.38
"Lake","Polk",13625.68
"Lake","Seminole",9857.31
"Lake","Sumter",60348.78
"Lake","Volusia",17612.57
"Orange","Brevard",119455.21
"Orange","Indian River",24643.32
"Orange","Lake",88762.97
"Orange","Osceola",784793.83
"Orange","Polk",194462.52
"Orange","Seminole",141313.73
"Orange","Sumter",49201.31
"Orange","Volusia",147148.2
"Osceola","Brevard",21788.8
"Osceola","Indian River",4464.7
"Osceola","Lake",15158.56
"Osceola","Orange",843500.08
"Osceola","Polk",73830.7
"Osceola","Seminole",9553.06
"Osceola","Sumter",6446.45
"Osceola","Volusia",17792.37
"Polk","Brevard",7657.45
"Polk","Indian River",4078.7
"Polk","Lake",15809.11
"Polk","Orange",208277.97
"Polk","Osceola",70143.58
"Polk","Seminole",8318.78
"Polk","Sumter",10411.73
"Polk","Volusia",14985.37
"Seminole","Brevard",7741.2
"Seminole","Indian River",1717.31
"Seminole","Lake",8823.08
"Seminole","Orange",146756.81
"Seminole","Osceola",9279.13
"Seminole","Polk",8937.02
"Seminole","Sumter",2537.13
"Seminole","Volusia",40723.31
"Sumter","Brevard",2517.75
"Sumter","Indian River",1352.2
"Sumter","Lake",61693.42
"Sumter","Orange",47989.86
"Sumter","Osceola",8823.13
"Sumter","Polk",9364.12
"Sumter","Seminole",2931.25
"Sumter","Volusia",2908.22
"Volusia","Brevard",33955.34
"Volusia","Indian River",6491.89
"Volusia","Lake",17861.6
"Volusia","Orange",132096.16
"Volusia","Osceola",17001.17
"Volusia","Polk",15402.7
"Volusia","Seminole",36370.98
"Volusia","Sumter",3273.3
