"source","target","value"
"Brevard","Indian River",83.86
"Indian River","Brevard",195.21
"Lake","Orange",601.16
"Lake","Polk",17.68
"Lake","Seminole",42.95
"Lake","Sumter",622.41
"Lake","Volusia",97.38
"Orange","Lake",548.59
"Orange","Osceola",1689.84
"Orange","Seminole",3395.38
"Osceola","Lake",17.68
"Osceola","Orange",1609.39
"Osceola","Polk",1091.73
"Polk","Lake",82.11
"Polk","Orange",9.07
"Polk","Osceola",951.67
"Seminole","Lake",36.81
"Seminole","Orange",3802.01
"Sumter","Lake",634.5
"Volusia","Lake",134.35
"Volusia","Seminole",93.18
