"source","target","value"
"Brevard","Orange",1097.38
"Brevard","Osceola",113.67
"Brevard","Seminole",365.14
"Lake","Brevard",77.42
"Lake","Orange",3203.12
"Lake","Osceola",281.08
"Lake","Polk",31.95
"Lake","Seminole",575.11
"Lake","Sumter",253.67
"Lake","Volusia",7.59
"Osceola","Orange",7.68
"Polk","Lake",25.64
"Polk","Orange",1318.14
"Polk","Osceola",1014.93
"Polk","Volusia",20.39
"Seminole","Brevard",29.68
"Sumter","Lake",496.91
"Sumter","Orange",226.93
"Sumter","Seminole",59.67
"Volusia","Orange",1122.29
"Volusia","Osceola",39.79
"Volusia","Seminole",2223.76
