"source","target","value"
"Brevard","Indian River",30.96
"Brevard","Orange",5790.66
"Brevard","Osceola",1369.44
"Brevard","Seminole",1316.8
"Indian River","Brevard",94.29
"Indian River","Orange",253.6
"Indian River","Osceola",71.02
"Indian River","Seminole",46.11
"Lake","Orange",7288.1
"Lake","Osceola",559.5
"Lake","Polk",21.02
"Lake","Seminole",1116.12
"Lake","Sumter",41.66
"Orange","Brevard",33.79
"Orange","Lake",145.58
"Orange","Osceola",23972.83
"Orange","Polk",86.07
"Orange","Seminole",33295.52
"Osceola","Orange",13624.08
"Osceola","Polk",123.35
"Osceola","Seminole",1520.48
"Polk","Orange",3725.12
"Polk","Osceola",3060.21
"Polk","Seminole",411.41
"Seminole","Orange",25195.62
"Seminole","Osceola",1324.85
"Seminole","Volusia",105.53
"Sumter","Orange",214.83
"Sumter","Osceola",121.87
"Sumter","Polk",14.46
"Sumter","Seminole",135.81
"Volusia","Orange",5670.71
"Volusia","Osceola",357.82
"Volusia","Seminole",6391.38
