"source","target","value"
"Brevard","Orange",19.61
"Orange","Brevard",485.58
"Orange","Lake",585.47
"Orange","Osceola",3819.35
"Orange","Polk",192.41
"Orange","Seminole",4356.53
"Orange","Sumter",51.66
"Orange","Volusia",720.05
"Osceola","Brevard",182.69
"Osceola","Lake",110.14
"Osceola","Orange",2984.8
"Osceola","Polk",145.15
"Osceola","Volusia",89.77
"Polk","Orange",52.43
"Polk","Osceola",51.57
"Seminole","Brevard",15.69
"Seminole","Lake",144.41
"Seminole","Orange",4426.45
"Seminole","Osceola",122.78
"Seminole","Volusia",355.48
