"source","target","value"
"Brevard","Indian River",234.18
"Brevard","Orange",3626.78
"Brevard","Osceola",969.35
"Brevard","Polk",40.9
"Brevard","Seminole",1084
"Indian River","Brevard",110.46
"Indian River","Orange",309.11
"Indian River","Osceola",18.63
"Indian River","Polk",9.05
"Indian River","Seminole",195.01
"Lake","Brevard",69.05
"Lake","Orange",9111.46
"Lake","Osceola",778.31
"Lake","Polk",182.42
"Lake","Seminole",1594.78
"Lake","Sumter",308.68
"Lake","Volusia",165.48
"Orange","Brevard",3486.31
"Orange","Indian River",93.81
"Orange","Lake",10036.96
"Orange","Osceola",106868.66
"Orange","Polk",4253.13
"Orange","Seminole",189529.36
"Orange","Sumter",716.22
"Orange","Volusia",4508.68
"Osceola","Brevard",1314.39
"Osceola","Indian River",105.99
"Osceola","Lake",534.36
"Osceola","Orange",104909.13
"Osceola","Polk",3829.67
"Osceola","Seminole",3604.16
"Osceola","Sumter",20.83
"Osceola","Volusia",452
"Polk","Brevard",127.61
"Polk","Lake",200.67
"Polk","Orange",4455.82
"Polk","Osceola",4080.19
"Polk","Seminole",529.34
"Polk","Volusia",103.39
"Seminole","Brevard",750.7
"Seminole","Indian River",80.78
"Seminole","Lake",1907.71
"Seminole","Orange",183276.07
"Seminole","Osceola",4453.36
"Seminole","Polk",518.45
"Seminole","Sumter",139.72
"Seminole","Volusia",5043.09
"Sumter","Brevard",27.69
"Sumter","Lake",265.85
"Sumter","Orange",851.95
"Sumter","Osceola",53.13
"Sumter","Polk",23.69
"Sumter","Seminole",274.69
"Volusia","Brevard",16.72
"Volusia","Lake",215.29
"Volusia","Orange",3737.89
"Volusia","Osceola",267.14
"Volusia","Polk",42.7
"Volusia","Seminole",4797.89
