"source","target","value"
"Brevard","Indian River",46.34
"Brevard","Lake",38.52
"Brevard","Orange",521.2
"Brevard","Osceola",253.86
"Brevard","Polk",7.87
"Brevard","Seminole",140.37
"Brevard","Volusia",56.46
"Indian River","Brevard",65.71
"Lake","Orange",1554.39
"Lake","Osceola",171.92
"Lake","Polk",6.5
"Lake","Seminole",414.23
"Lake","Sumter",232.13
"Orange","Brevard",443.3
"Orange","Lake",1178.28
"Orange","Osceola",6240.09
"Orange","Polk",441.06
"Orange","Seminole",13833.36
"Orange","Sumter",38.48
"Orange","Volusia",670.02
"Osceola","Brevard",35.3
"Osceola","Indian River",65.71
"Osceola","Lake",197.9
"Osceola","Orange",6350.89
"Osceola","Polk",873.01
"Osceola","Seminole",278.09
"Osceola","Volusia",113.45
"Polk","Lake",116.82
"Polk","Orange",434.35
"Polk","Osceola",835.25
"Polk","Seminole",318.33
"Polk","Volusia",45.6
"Seminole","Brevard",72.32
"Seminole","Lake",184.53
"Seminole","Orange",14144.53
"Seminole","Osceola",473.11
"Seminole","Polk",134.71
"Seminole","Volusia",657.82
"Sumter","Lake",508.23
"Sumter","Orange",42.45
"Sumter","Polk",16.5
"Volusia","Brevard",55.82
"Volusia","Lake",62.59
"Volusia","Orange",687.67
"Volusia","Osceola",73.2
"Volusia","Seminole",874.06
