"source","target","value"
"Brevard","Indian River",64.8
"Brevard","Orange",121.52
"Brevard","Seminole",28.91
"Lake","Orange",105.78
"Lake","Polk",7.11
"Lake","Sumter",93.45
"Orange","Brevard",15.58
"Orange","Lake",191.31
"Orange","Osceola",175.98
"Orange","Polk",322.04
"Orange","Seminole",342.22
"Orange","Volusia",76.15
"Osceola","Orange",270.96
"Osceola","Polk",70.46
"Polk","Indian River",66.24
"Polk","Orange",50.2
"Polk","Osceola",83
"Seminole","Indian River",70.76
"Seminole","Orange",457.57
"Seminole","Polk",19.38
"Sumter","Orange",53.7
"Volusia","Lake",135.18
"Volusia","Orange",150.07
"Volusia","Osceola",21.25
"Volusia","Polk",8.89
"Volusia","Sumter",38.33
