"source","target","value"
"Brevard","Orange",396.15
"Brevard","Osceola",188.09
"Brevard","Seminole",244.31
"Lake","Orange",1767.87
"Lake","Osceola",17.02
"Lake","Seminole",206
"Orange","Osceola",746.04
"Orange","Seminole",1572.61
"Orange","Sumter",44.04
"Osceola","Orange",338.01
"Osceola","Polk",72.31
"Osceola","Seminole",46.15
"Polk","Orange",475.15
"Polk","Osceola",412.03
"Seminole","Brevard",33.31
"Seminole","Orange",763.54
"Sumter","Orange",61.62
"Volusia","Orange",260.81
"Volusia","Osceola",29.98
"Volusia","Seminole",884.04
