"source","target","value"
"Brevard","Indian River",895.26
"Brevard","Orange",2163.65
"Brevard","Osceola",211.86
"Brevard","Seminole",247.54
"Brevard","Volusia",408.47
"Indian River","Brevard",1078.54
"Indian River","Lake",37.34
"Indian River","Orange",76.94
"Lake","Brevard",59.42
"Lake","Orange",5318.87
"Lake","Osceola",574.37
"Lake","Polk",396.11
"Lake","Seminole",895.85
"Lake","Sumter",2238.39
"Lake","Volusia",382.85
"Orange","Brevard",2666.19
"Orange","Indian River",52.52
"Orange","Lake",8034.77
"Orange","Osceola",17275.18
"Orange","Polk",4513.56
"Orange","Seminole",35775.68
"Orange","Sumter",162.41
"Orange","Volusia",3255.15
"Osceola","Brevard",476.88
"Osceola","Indian River",49.3
"Osceola","Lake",865.15
"Osceola","Orange",9390.18
"Osceola","Polk",2949.04
"Osceola","Seminole",847.52
"Osceola","Volusia",149.01
"Polk","Brevard",53
"Polk","Lake",637.63
"Polk","Orange",1982.44
"Polk","Osceola",2243.61
"Polk","Seminole",223.19
"Polk","Sumter",13.62
"Polk","Volusia",26.04
"Seminole","Brevard",447.67
"Seminole","Lake",1994.57
"Seminole","Orange",20042.26
"Seminole","Osceola",498.04
"Seminole","Polk",390.24
"Seminole","Sumter",105.11
"Seminole","Volusia",7062.99
"Sumter","Lake",3138.01
"Sumter","Orange",72.24
"Sumter","Seminole",149.69
"Sumter","Volusia",27.78
"Volusia","Brevard",577.87
"Volusia","Lake",756.43
"Volusia","Orange",2001.75
"Volusia","Osceola",70.3
"Volusia","Seminole",4187.53
"Volusia","Sumter",43.96
