"source","target","value"
"Brevard","Indian River",409.45
"Brevard","Orange",5571.05
"Brevard","Osceola",836.1
"Brevard","Polk",46.51
"Brevard","Seminole",826.79
"Brevard","Volusia",202.76
"Indian River","Brevard",284.25
"Indian River","Lake",30.2
"Indian River","Orange",94.98
"Indian River","Osceola",46.67
"Lake","Brevard",45.8
"Lake","Orange",22679.92
"Lake","Osceola",2435.45
"Lake","Polk",452.9
"Lake","Seminole",4419.17
"Lake","Sumter",927.59
"Lake","Volusia",439.18
"Orange","Brevard",6620.33
"Orange","Indian River",73.18
"Orange","Lake",24415.51
"Orange","Osceola",2699.7
"Orange","Polk",14477.39
"Orange","Seminole",3556.05
"Orange","Sumter",544.4
"Orange","Volusia",11102.14
"Osceola","Brevard",873.3
"Osceola","Indian River",95.97
"Osceola","Lake",2390.4
"Osceola","Orange",1822.69
"Osceola","Polk",9850.05
"Osceola","Seminole",191.49
"Osceola","Sumter",44.45
"Osceola","Volusia",336.68
"Polk","Brevard",111.61
"Polk","Lake",549.47
"Polk","Orange",14689.66
"Polk","Osceola",8661.41
"Polk","Seminole",534.99
"Polk","Sumter",68.13
"Polk","Volusia",383.17
"Seminole","Brevard",809.56
"Seminole","Lake",4813.7
"Seminole","Orange",3399.34
"Seminole","Osceola",120.46
"Seminole","Polk",654.14
"Seminole","Sumter",71.16
"Seminole","Volusia",21490.69
"Sumter","Lake",1122.89
"Sumter","Orange",437.51
"Sumter","Osceola",61.25
"Sumter","Polk",38.92
"Sumter","Seminole",127.69
"Sumter","Volusia",39.22
"Volusia","Brevard",154.49
"Volusia","Indian River",21.8
"Volusia","Lake",549.75
"Volusia","Orange",9902.46
"Volusia","Osceola",208.05
"Volusia","Polk",328.95
"Volusia","Seminole",17646.66
"Volusia","Sumter",39.22
