"source","target","value"
"Brevard","Indian River",42.51
"Brevard","Volusia",100.4
"Indian River","Brevard",5.19
"Lake","Polk",79.89
"Lake","Sumter",141.17
"Lake","Volusia",37.44
"Orange","Brevard",840.19
"Orange","Lake",1611.23
"Orange","Osceola",38.5
"Orange","Polk",723.13
"Orange","Sumter",145.39
"Orange","Volusia",678.09
"Osceola","Brevard",119.92
"Osceola","Lake",234.55
"Osceola","Polk",866.92
"Osceola","Volusia",35.83
"Polk","Indian River",29.82
"Polk","Lake",97.13
"Polk","Osceola",34.87
"Seminole","Brevard",133.58
"Seminole","Lake",356.12
"Seminole","Polk",51.45
"Seminole","Volusia",1060.03
"Sumter","Lake",110.81
"Volusia","Lake",57.25
"Volusia","Polk",100.09
"Volusia","Seminole",29.68
