"source","target","value"
"Brevard","Indian River",82.35
"Brevard","Lake",7.68
"Brevard","Orange",3951.14
"Brevard","Osceola",551.63
"Brevard","Seminole",1047.54
"Brevard","Volusia",72.85
"Indian River","Brevard",235.56
"Indian River","Orange",148.74
"Indian River","Osceola",249.41
"Indian River","Seminole",19.64
"Lake","Brevard",26.65
"Lake","Orange",9249.66
"Lake","Osceola",522.67
"Lake","Polk",49.62
"Lake","Seminole",1509.17
"Lake","Sumter",516.79
"Lake","Volusia",41.04
"Orange","Brevard",4299.73
"Orange","Indian River",160.16
"Orange","Lake",9518.91
"Orange","Osceola",44322.19
"Orange","Polk",3891.86
"Orange","Seminole",84978.79
"Orange","Sumter",225.12
"Orange","Volusia",4430.24
"Osceola","Brevard",515.58
"Osceola","Indian River",326.47
"Osceola","Lake",739.91
"Osceola","Orange",46190.31
"Osceola","Polk",5184.08
"Osceola","Seminole",1921.22
"Osceola","Sumter",92.32
"Osceola","Volusia",165.75
"Polk","Lake",25.45
"Polk","Orange",4042
"Polk","Osceola",4783.49
"Polk","Seminole",514.16
"Polk","Volusia",19.29
"Seminole","Brevard",1175.78
"Seminole","Lake",1632.54
"Seminole","Orange",84920.23
"Seminole","Osceola",1837.17
"Seminole","Polk",575.35
"Seminole","Sumter",374.3
"Seminole","Volusia",5095.92
"Sumter","Lake",251.96
"Sumter","Orange",250.34
"Sumter","Osceola",61.91
"Sumter","Seminole",284.26
"Volusia","Lake",272.1
"Volusia","Orange",4106.82
"Volusia","Osceola",171.95
"Volusia","Seminole",4703.4
