"source","target","value"
"Brevard","Orange",1210.77
"Brevard","Osceola",111.43
"Brevard","Seminole",193.01
"Lake","Orange",2739.86
"Lake","Osceola",550.02
"Lake","Seminole",417.06
"Orange","Osceola",11880.05
"Orange","Polk",66.9
"Orange","Seminole",18664.52
"Osceola","Orange",6183.68
"Osceola","Polk",138.46
"Osceola","Seminole",293.61
"Polk","Orange",1039.47
"Polk","Osceola",673.49
"Polk","Seminole",141.74
"Seminole","Orange",15896.2
"Seminole","Osceola",275.84
"Sumter","Orange",74.12
"Volusia","Orange",1259.11
"Volusia","Osceola",60.8
"Volusia","Seminole",1942.35
