"source","target","value"
"Brevard","Indian River",975.38
"Brevard","Lake",72.25
"Brevard","Polk",57.52
"Brevard","Volusia",343.86
"Indian River","Brevard",1279.53
"Indian River","Polk",59.49
"Lake","Brevard",42.1
"Lake","Osceola",25.11
"Lake","Polk",442.06
"Lake","Sumter",1818.1
"Lake","Volusia",481.98
"Orange","Lake",76.81
"Osceola","Lake",36.25
"Osceola","Polk",107.27
"Polk","Lake",353.71
"Polk","Sumter",73.94
"Polk","Volusia",57.17
"Sumter","Lake",3790.33
"Sumter","Polk",16.57
"Volusia","Brevard",274.54
"Volusia","Lake",839.66
"Volusia","Polk",136.9
"Volusia","Seminole",34.11
