"source","target","value"
"Brevard","Indian River",2431.63
"Brevard","Lake",511.17
"Brevard","Polk",519.31
"Brevard","Sumter",53.5
"Brevard","Volusia",1512.15
"Indian River","Brevard",2112.59
"Indian River","Lake",188.03
"Indian River","Polk",176.58
"Indian River","Volusia",107.14
"Lake","Brevard",397.2
"Lake","Indian River",105.39
"Lake","Orange",182.81
"Lake","Polk",2138.7
"Lake","Seminole",29.16
"Lake","Sumter",6840.2
"Lake","Volusia",2265.73
"Orange","Brevard",7967.1
"Orange","Indian River",612.71
"Orange","Lake",15050.08
"Orange","Osceola",83.8
"Orange","Polk",11951.81
"Orange","Sumter",785.07
"Orange","Volusia",7028.65
"Osceola","Brevard",1265.07
"Osceola","Indian River",318.66
"Osceola","Lake",1695.6
"Osceola","Polk",8588.78
"Osceola","Sumter",28.72
"Osceola","Volusia",1114.72
"Polk","Brevard",463.22
"Polk","Indian River",355.13
"Polk","Lake",1458.86
"Polk","Osceola",37.51
"Polk","Sumter",164.4
"Polk","Volusia",358.26
"Seminole","Brevard",1306.69
"Seminole","Indian River",214.35
"Seminole","Lake",3103.65
"Seminole","Polk",605.96
"Seminole","Sumter",72.33
"Seminole","Volusia",13768.5
"Sumter","Lake",5988.22
"Sumter","Polk",657.6
"Sumter","Volusia",37.28
"Volusia","Brevard",1612.92
"Volusia","Indian River",69.15
"Volusia","Lake",3218.34
"Volusia","Polk",828.08
"Volusia","Sumter",110.75
