"source","target","value"
"Brevard","Orange",435.67
"Brevard","Osceola",62.7
"Brevard","Seminole",67.42
"Indian River","Orange",48.72
"Indian River","Osceola",28.34
"Lake","Orange",365.63
"Lake","Osceola",8.79
"Lake","Seminole",236.09
"Orange","Lake",45
"Orange","Osceola",1752.48
"Orange","Seminole",3644.98
"Osceola","Orange",2196.03
"Osceola","Polk",92.7
"Osceola","Seminole",90.05
"Polk","Orange",207.15
"Polk","Osceola",270.51
"Polk","Seminole",44.57
"Seminole","Orange",3410.56
"Seminole","Osceola",38.4
"Sumter","Orange",18.49
"Volusia","Orange",491.12
"Volusia","Osceola",48.21
"Volusia","Seminole",572.47
