"source","target","value"
"Brevard","Indian River",49.67
"Orange","Brevard",2979.14
"Orange","Lake",11668.39
"Orange","Osceola",124.47
"Orange","Polk",5919.15
"Orange","Sumter",136.98
"Orange","Volusia",4619.91
"Osceola","Brevard",338.79
"Osceola","Indian River",78.21
"Osceola","Lake",1258.12
"Osceola","Polk",4628.44
"Osceola","Sumter",45.55
"Osceola","Volusia",163.95
"Seminole","Brevard",196.39
"Seminole","Lake",2043.53
"Seminole","Polk",208.63
"Seminole","Volusia",8526.56
"Sumter","Lake",16.99
