"source","target","value"
"Orange","Brevard",371.85
"Orange","Indian River",68.58
"Orange","Lake",1611.59
"Orange","Osceola",353.69
"Orange","Polk",608.95
"Orange","Seminole",587.05
"Orange","Sumter",52.98
"Orange","Volusia",442.49
"Osceola","Brevard",42.3
"Osceola","Indian River",29.42
"Osceola","Lake",34.54
"Osceola","Orange",742.52
"Osceola","Polk",717
"Osceola","Volusia",62.11
"Polk","Lake",6.53
"Seminole","Brevard",64.38
"Seminole","Lake",107.65
"Seminole","Orange",893.81
"Seminole","Osceola",82.52
"Seminole","Sumter",29.42
"Seminole","Volusia",603.92
