"source","target","value"
"Orange","Brevard",2151.7
"Orange","Indian River",30.37
"Orange","Lake",6604.8
"Orange","Osceola",96.11
"Orange","Polk",3242.25
"Orange","Sumter",347.9
"Orange","Volusia",1924.36
"Osceola","Brevard",376.71
"Osceola","Indian River",88.88
"Osceola","Lake",731.2
"Osceola","Polk",2963.3
"Osceola","Volusia",101.87
"Polk","Lake",9.51
"Seminole","Brevard",569.24
"Seminole","Lake",1164.16
"Seminole","Polk",69.2
"Seminole","Sumter",30.62
"Seminole","Volusia",4911.64
"Sumter","Lake",102.73
