"source","target","value"
"Brevard","Indian River",4170.38
"Brevard","Lake",590.81
"Brevard","Orange",13366.79
"Brevard","Osceola",2651.55
"Brevard","Polk",548.78
"Brevard","Seminole",672.09
"Brevard","Sumter",293.12
"Brevard","Volusia",4934.12
"Indian River","Brevard",4185.57
"Indian River","Lake",192.66
"Indian River","Orange",3218.34
"Indian River","Osceola",721.72
"Indian River","Polk",288.98
"Indian River","Seminole",109.16
"Indian River","Sumter",193.78
"Indian River","Volusia",896.19
"Lake","Brevard",922.73
"Lake","Indian River",140.58
"Lake","Orange",10705.23
"Lake","Osceola",2457.94
"Lake","Polk",1300.93
"Lake","Seminole",1266.7
"Lake","Sumter",9050.3
"Lake","Volusia",2266.65
"Orange","Brevard",13302.57
"Orange","Indian River",3258.7
"Orange","Lake",12138.28
"Orange","Osceola",106779.84
"Orange","Polk",23620.61
"Orange","Seminole",19116.22
"Orange","Sumter",5334.73
"Orange","Volusia",13420.57
"Osceola","Brevard",2587.56
"Osceola","Indian River",717.78
"Osceola","Lake",2438.94
"Osceola","Orange",129119.45
"Osceola","Polk",11610.74
"Osceola","Seminole",1310.65
"Osceola","Sumter",1059.24
"Osceola","Volusia",2276.33
"Polk","Brevard",293
"Polk","Indian River",298.55
"Polk","Lake",2037.3
"Polk","Orange",24752.63
"Polk","Osceola",11192.28
"Polk","Seminole",1160.3
"Polk","Sumter",1886.39
"Polk","Volusia",1355.1
"Seminole","Brevard",914.58
"Seminole","Indian River",140.74
"Seminole","Lake",1296.99
"Seminole","Orange",19580
"Seminole","Osceola",1863.61
"Seminole","Polk",952.99
"Seminole","Sumter",541.34
"Seminole","Volusia",4761.35
"Sumter","Brevard",379.72
"Sumter","Indian River",184.06
"Sumter","Lake",8030.92
"Sumter","Orange",5116.75
"Sumter","Osceola",693.38
"Sumter","Polk",800.58
"Sumter","Seminole",502.12
"Sumter","Volusia",265.37
"Volusia","Brevard",3924.33
"Volusia","Indian River",1130.54
"Volusia","Lake",1639.46
"Volusia","Orange",14080.31
"Volusia","Osceola",1652.7
"Volusia","Polk",1533.35
"Volusia","Seminole",4514.55
"Volusia","Sumter",330.1
