"source","target","value"
"Brevard","Orange",3778.21
"Brevard","Osceola",495.03
"Brevard","Seminole",365.17
"Indian River","Osceola",46.67
"Lake","Orange",14715.27
"Lake","Osceola",1663.35
"Lake","Seminole",2617.24
"Orange","Seminole",34.48
"Osceola","Orange",141.78
"Polk","Orange",9683.27
"Polk","Osceola",5104.89
"Polk","Seminole",147.67
"Sumter","Orange",220.99
"Sumter","Osceola",30.83
"Sumter","Seminole",54.09
"Volusia","Orange",6673.68
"Volusia","Osceola",111.62
"Volusia","Seminole",12043.6
