"source","target","value"
"Lake","Orange",24.41
"Orange","Brevard",866.38
"Orange","Indian River",98.86
"Orange","Lake",1894.69
"Orange","Osceola",4848.6
"Orange","Polk",831.35
"Orange","Seminole",11197.14
"Orange","Sumter",213.27
"Orange","Volusia",1133.43
"Osceola","Brevard",293.34
"Osceola","Indian River",37.62
"Osceola","Lake",301.29
"Osceola","Orange",8871.64
"Osceola","Polk",661.69
"Osceola","Seminole",439.12
"Osceola","Sumter",56.5
"Osceola","Volusia",49.36
"Polk","Lake",6.02
"Polk","Orange",109.37
"Polk","Osceola",78.1
"Seminole","Brevard",322.82
"Seminole","Indian River",66.79
"Seminole","Lake",276.93
"Seminole","Orange",13933.89
"Seminole","Osceola",639.56
"Seminole","Polk",74.08
"Seminole","Sumter",34.15
"Seminole","Volusia",1502.55
