"source","target","value"
"Brevard","Indian River",177.96
"Brevard","Orange",14368.85
"Brevard","Osceola",2716.14
"Brevard","Seminole",1932.41
"Brevard","Volusia",51.86
"Indian River","Brevard",146.52
"Indian River","Orange",80.38
"Indian River","Osceola",243.48
"Indian River","Polk",59.86
"Indian River","Seminole",64.5
"Indian River","Volusia",24.65
"Lake","Orange",69234.15
"Lake","Osceola",6125.26
"Lake","Polk",180.32
"Lake","Seminole",17381.58
"Lake","Sumter",308.85
"Lake","Volusia",39.24
"Orange","Brevard",503.93
"Orange","Indian River",42.36
"Orange","Lake",958.36
"Orange","Osceola",8409.86
"Orange","Polk",28.37
"Orange","Seminole",17378.09
"Orange","Volusia",581.01
"Osceola","Brevard",51.01
"Osceola","Indian River",72.69
"Osceola","Orange",18519.18
"Osceola","Polk",792.56
"Osceola","Seminole",924.27
"Polk","Brevard",48.37
"Polk","Orange",41315
"Polk","Osceola",20301.07
"Polk","Seminole",1530.92
"Polk","Volusia",21.92
"Seminole","Brevard",110.91
"Seminole","Indian River",80.84
"Seminole","Lake",189.63
"Seminole","Orange",20996.92
"Seminole","Osceola",288.98
"Seminole","Volusia",305.84
"Sumter","Orange",1637.67
"Sumter","Osceola",219.75
"Sumter","Seminole",244.69
"Volusia","Brevard",91.89
"Volusia","Orange",30766.88
"Volusia","Osceola",253.81
"Volusia","Seminole",59907.35
