"source","target","value"
"Brevard","Indian River",259.8
"Brevard","Orange",101.98
"Indian River","Brevard",37
"Lake","Orange",679.58
"Lake","Sumter",822.13
"Lake","Volusia",422.87
"Orange","Brevard",312.1
"Orange","Lake",1770.67
"Orange","Osceola",5767.47
"Orange","Polk",653.04
"Orange","Seminole",8233.18
"Orange","Sumter",620.1
"Orange","Volusia",1043.85
"Osceola","Lake",177.6
"Osceola","Orange",2677.81
"Osceola","Polk",522.38
"Osceola","Seminole",264.6
"Polk","Orange",273.91
"Polk","Osceola",242.23
"Seminole","Brevard",253.65
"Seminole","Lake",33.97
"Seminole","Orange",3704.48
"Seminole","Polk",105.72
"Seminole","Volusia",1244
"Volusia","Orange",1000.42
"Volusia","Seminole",628.13
