"source","target","value"
"Brevard","Orange",319.61
"Lake","Orange",2381.29
"Lake","Osceola",6.08
"Orange","Brevard",785.32
"Orange","Lake",1072.65
"Orange","Osceola",644948.03
"Orange","Polk",1250.3
"Orange","Seminole",1082066.99
"Orange","Sumter",41.19
"Orange","Volusia",581.94
"Osceola","Brevard",397.49
"Osceola","Lake",66.17
"Osceola","Orange",337689.11
"Osceola","Polk",2903.05
"Osceola","Seminole",14342.44
"Polk","Orange",1597.43
"Polk","Osceola",2519.82
"Polk","Seminole",80.15
"Seminole","Lake",356.93
"Seminole","Orange",592411.19
"Seminole","Osceola",13509.88
"Seminole","Volusia",1016.27
"Volusia","Orange",32.89
"Volusia","Seminole",263.64
