"source","target","value"
"Brevard","Indian River",25199.27
"Brevard","Lake",1896.31
"Brevard","Orange",39804.18
"Brevard","Osceola",6015.1
"Brevard","Polk",1306.53
"Brevard","Seminole",10267.99
"Brevard","Volusia",8794.08
"Indian River","Brevard",34575.05
"Indian River","Orange",577.03
"Indian River","Osceola",1863.26
"Indian River","Polk",435.04
"Lake","Brevard",583.32
"Lake","Orange",152866.97
"Lake","Osceola",10602.29
"Lake","Polk",15396.79
"Lake","Seminole",23577.88
"Lake","Sumter",52211.9
"Lake","Volusia",13219.61
"Orange","Brevard",69157.51
"Orange","Indian River",213.25
"Orange","Lake",280258.29
"Orange","Osceola",653740.52
"Orange","Polk",168793.8
"Orange","Seminole",1090622.04
"Orange","Sumter",4781.86
"Orange","Volusia",123652.85
"Osceola","Brevard",9801.56
"Osceola","Indian River",852.03
"Osceola","Lake",31790.13
"Osceola","Orange",341575.79
"Osceola","Polk",113629.27
"Osceola","Seminole",14607.04
"Osceola","Sumter",451.94
"Osceola","Volusia",2435.19
"Polk","Brevard",429.12
"Polk","Lake",12713.72
"Polk","Orange",70623.43
"Polk","Osceola",64888.23
"Polk","Seminole",2187.44
"Polk","Sumter",446.67
"Polk","Volusia",2287.56
"Seminole","Brevard",5437.81
"Seminole","Lake",48636.75
"Seminole","Orange",596802.71
"Seminole","Osceola",13569.1
"Seminole","Polk",4459.54
"Seminole","Sumter",540.9
"Seminole","Volusia",230613.54
"Sumter","Lake",90553.47
"Sumter","Orange",4253.4
"Sumter","Osceola",638.59
"Sumter","Polk",297.32
"Sumter","Seminole",569.2
"Sumter","Volusia",891.95
"Volusia","Brevard",9389.8
"Volusia","Indian River",118.93
"Volusia","Lake",17983.44
"Volusia","Orange",41041.3
"Volusia","Osceola",2142.22
"Volusia","Polk",2393.63
"Volusia","Seminole",103361.45
"Volusia","Sumter",238.32
