"source","target","value"
"Brevard","Orange",842.37
"Brevard","Osceola",157.79
"Brevard","Seminole",204.09
"Brevard","Volusia",30.89
"Indian River","Brevard",86.03
"Indian River","Orange",121.75
"Lake","Brevard",13.05
"Lake","Orange",1720.88
"Lake","Osceola",109.31
"Lake","Polk",124.46
"Lake","Seminole",337.14
"Lake","Sumter",284.57
"Lake","Volusia",94.03
"Orange","Brevard",588.98
"Orange","Indian River",156.21
"Orange","Lake",1594.91
"Orange","Osceola",2240.94
"Orange","Polk",748.88
"Orange","Seminole",1693.19
"Orange","Sumter",240.87
"Orange","Volusia",449.25
"Osceola","Brevard",76.46
"Osceola","Lake",14.92
"Osceola","Orange",1786.29
"Osceola","Polk",355.64
"Osceola","Seminole",234.43
"Osceola","Volusia",25.56
"Polk","Brevard",54.85
"Polk","Lake",84.89
"Polk","Orange",680.98
"Polk","Osceola",672.74
"Polk","Seminole",34.44
"Polk","Volusia",51.31
"Seminole","Brevard",66.18
"Seminole","Lake",82.22
"Seminole","Orange",2446.28
"Seminole","Osceola",54.35
"Seminole","Polk",101.28
"Seminole","Volusia",890.49
"Sumter","Lake",272.66
"Sumter","Orange",157.15
"Sumter","Osceola",69.47
"Sumter","Polk",116.53
"Sumter","Seminole",20.1
"Volusia","Lake",7.59
"Volusia","Orange",618.6
"Volusia","Polk",8.11
"Volusia","Seminole",1013.41
