"source","target","value"
"Brevard","Indian River",37.48
"Brevard","Lake",20.49
"Brevard","Volusia",67.29
"Lake","Orange",35.86
"Lake","Osceola",21.54
"Lake","Polk",198.52
"Lake","Sumter",81.49
"Orange","Brevard",711.32
"Orange","Indian River",52.2
"Orange","Lake",2830.86
"Orange","Osceola",51.43
"Orange","Polk",2579.81
"Orange","Sumter",19.42
"Orange","Volusia",1886.05
"Osceola","Brevard",158.43
"Osceola","Lake",475.81
"Osceola","Polk",2490.72
"Osceola","Sumter",44.45
"Polk","Brevard",118.68
"Polk","Lake",160.59
"Polk","Sumter",34.34
"Seminole","Lake",690.68
"Seminole","Osceola",15.95
"Seminole","Polk",183.64
"Seminole","Sumter",63.18
"Seminole","Volusia",3277.93
"Sumter","Brevard",40.11
"Sumter","Lake",75.61
"Volusia","Lake",137.24
"Volusia","Polk",15.03
