"source","target","value"
"Brevard","Indian River",84.45
"Brevard","Lake",93.75
"Brevard","Orange",661.51
"Brevard","Osceola",32.09
"Brevard","Seminole",190.89
"Brevard","Volusia",51.86
"Indian River","Brevard",101.61
"Lake","Orange",2368.37
"Lake","Osceola",350.08
"Lake","Polk",284.59
"Lake","Seminole",278.45
"Lake","Sumter",400.15
"Lake","Volusia",31.01
"Orange","Brevard",1009.47
"Orange","Indian River",82.26
"Orange","Lake",3241.74
"Orange","Osceola",1100.85
"Orange","Polk",1847.14
"Orange","Seminole",1508.74
"Orange","Sumter",75.41
"Orange","Volusia",2020.29
"Osceola","Brevard",15.57
"Osceola","Lake",261.87
"Osceola","Orange",874.89
"Osceola","Polk",1263.13
"Osceola","Seminole",83.47
"Osceola","Volusia",71.98
"Polk","Brevard",52.21
"Polk","Lake",346.62
"Polk","Orange",1485.82
"Polk","Osceola",1047.4
"Seminole","Brevard",141.97
"Seminole","Lake",676.59
"Seminole","Orange",1461.4
"Seminole","Osceola",47.83
"Seminole","Polk",74.92
"Seminole","Sumter",64.26
"Seminole","Volusia",2564.17
"Sumter","Brevard",23.29
"Sumter","Lake",443.23
"Sumter","Orange",56.07
"Sumter","Volusia",39.22
"Volusia","Brevard",99.54
"Volusia","Orange",1164.98
"Volusia","Osceola",31.71
"Volusia","Polk",32.42
"Volusia","Seminole",1397.06
