"source","target","value"
"Brevard","Indian River",142.27
"Brevard","Orange",2019.87
"Brevard","Osceola",341.47
"Brevard","Seminole",611.81
"Brevard","Volusia",125.66
"Indian River","Brevard",111.26
"Indian River","Lake",34.5
"Indian River","Orange",86.9
"Indian River","Osceola",69.73
"Indian River","Seminole",36.19
"Lake","Brevard",57.64
"Lake","Orange",5550.25
"Lake","Osceola",715.9
"Lake","Polk",185.29
"Lake","Seminole",1259.35
"Lake","Sumter",212.13
"Lake","Volusia",121.95
"Orange","Brevard",2051.46
"Orange","Indian River",251.41
"Orange","Lake",5555.76
"Orange","Osceola",29090.42
"Orange","Polk",2867.39
"Orange","Seminole",48877.45
"Orange","Sumter",197.28
"Orange","Volusia",2120.65
"Osceola","Brevard",563.62
"Osceola","Indian River",68.81
"Osceola","Lake",482.64
"Osceola","Orange",26672.21
"Osceola","Polk",2425.47
"Osceola","Seminole",1123
"Osceola","Sumter",47.05
"Osceola","Volusia",194.46
"Polk","Brevard",27.69
"Polk","Lake",107.94
"Polk","Orange",2399.46
"Polk","Osceola",3394.55
"Polk","Seminole",227.3
"Seminole","Brevard",519.23
"Seminole","Lake",991.56
"Seminole","Orange",45752.65
"Seminole","Osceola",1521.6
"Seminole","Polk",148.44
"Seminole","Sumter",154.21
"Seminole","Volusia",3829.22
"Sumter","Brevard",68.74
"Sumter","Lake",385.54
"Sumter","Orange",261.2
"Sumter","Osceola",185.99
"Sumter","Polk",25.32
"Sumter","Seminole",122.52
"Volusia","Brevard",79.49
"Volusia","Lake",173.12
"Volusia","Orange",1626.87
"Volusia","Osceola",96.28
"Volusia","Seminole",2839.27
