"source","target","value"
"Brevard","Indian River",78.68
"Brevard","Orange",341.14
"Brevard","Seminole",23.93
"Indian River","Brevard",230.04
"Lake","Orange",496.36
"Lake","Seminole",117.72
"Lake","Volusia",7.9
"Orange","Brevard",16865.39
"Orange","Indian River",882.75
"Orange","Lake",33644.83
"Orange","Osceola",63445.87
"Orange","Polk",15696.16
"Orange","Seminole",132607.77
"Orange","Sumter",1606.31
"Orange","Volusia",16515.26
"Osceola","Brevard",3805.98
"Osceola","Indian River",359.91
"Osceola","Lake",3860.69
"Osceola","Orange",119800.19
"Osceola","Polk",12928.58
"Osceola","Seminole",4437.74
"Osceola","Sumter",390.79
"Osceola","Volusia",1260.48
"Polk","Brevard",5.52
"Polk","Lake",61.83
"Polk","Orange",258.22
"Polk","Osceola",648.08
"Polk","Volusia",9.65
"Seminole","Brevard",3913.04
"Seminole","Indian River",303.25
"Seminole","Lake",5895.93
"Seminole","Orange",179258.39
"Seminole","Osceola",5343.22
"Seminole","Polk",2416.19
"Seminole","Sumter",580.49
"Seminole","Volusia",23201.65
"Sumter","Brevard",74.4
"Sumter","Lake",283.98
"Sumter","Orange",87.44
"Sumter","Seminole",30.41
"Volusia","Brevard",102.04
"Volusia","Lake",59.5
"Volusia","Orange",204.06
"Volusia","Osceola",25.22
"Volusia","Seminole",149.51
