"source","target","value"
"Brevard","Orange",56.36
"Indian River","Brevard",74
"Lake","Orange",229.87
"Lake","Seminole",46.55
"Orange","Lake",105.76
"Orange","Osceola",722.71
"Orange","Polk",8.03
"Orange","Seminole",321.95
"Orange","Volusia",38.05
"Osceola","Orange",903.44
"Osceola","Polk",62.61
"Polk","Orange",162.77
"Polk","Osceola",124.89
"Seminole","Orange",1145.32
"Seminole","Osceola",105.84
"Seminole","Volusia",205.95
"Sumter","Lake",136.12
"Sumter","Orange",68.9
"Volusia","Orange",347.36
"Volusia","Seminole",64.7
