"source","target","value"
"Brevard","Orange",26.08
"Brevard","Osceola",25.91
"Lake","Orange",198.44
"Lake","Osceola",50.2
"Lake","Seminole",79.52
"Orange","Brevard",27.96
"Orange","Lake",273.96
"Orange","Osceola",62025.61
"Orange","Polk",482.2
"Orange","Seminole",112291.37
"Osceola","Orange",126261.62
"Osceola","Polk",406.59
"Osceola","Seminole",3119.32
"Polk","Orange",249.01
"Polk","Osceola",204.92
"Seminole","Orange",212939.92
"Seminole","Osceola",2693.63
"Seminole","Volusia",39.86
"Volusia","Orange",126.18
"Volusia","Seminole",225.4
