"source","target","value"
"Brevard","Indian River",200.4
"Brevard","Lake",145.07
"Brevard","Polk",364.23
"Brevard","Volusia",314
"Indian River","Brevard",232.93
"Indian River","Lake",31.69
"Lake","Brevard",67.74
"Lake","Orange",37.99
"Lake","Osceola",44.57
"Lake","Polk",1262.62
"Lake","Seminole",36.98
"Lake","Sumter",702.6
"Lake","Volusia",929.54
"Orange","Brevard",2991.09
"Orange","Indian River",19.67
"Orange","Lake",15630.12
"Orange","Osceola",158
"Orange","Polk",11320.12
"Orange","Sumter",182.92
"Orange","Volusia",6660.78
"Osceola","Brevard",244.86
"Osceola","Indian River",156.42
"Osceola","Lake",1402.7
"Osceola","Polk",9681.01
"Osceola","Sumter",207.8
"Osceola","Volusia",470.33
"Polk","Brevard",58.21
"Polk","Lake",734.97
"Polk","Osceola",58.32
"Polk","Sumter",62.27
"Polk","Volusia",345.54
"Seminole","Brevard",236.36
"Seminole","Lake",3487.63
"Seminole","Orange",30.23
"Seminole","Polk",545.31
"Seminole","Sumter",92.26
"Seminole","Volusia",14140.3
"Sumter","Lake",1043.41
"Sumter","Polk",52.22
"Sumter","Volusia",53.58
"Volusia","Brevard",331.41
"Volusia","Lake",857.15
"Volusia","Polk",245.38
"Volusia","Seminole",91.11
"Volusia","Sumter",21.71
