"source","target","value"
"Brevard","Orange",5733.62
"Brevard","Osceola",1399.84
"Brevard","Seminole",2086.87
"Indian River","Brevard",45
"Indian River","Orange",809.43
"Indian River","Osceola",169.16
"Indian River","Seminole",181.32
"Lake","Orange",11260.06
"Lake","Osceola",998.44
"Lake","Polk",24.67
"Lake","Seminole",3044.58
"Lake","Volusia",37.91
"Orange","Lake",215.55
"Orange","Osceola",54813.89
"Orange","Polk",101.74
"Orange","Seminole",84382.2
"Orange","Volusia",93.59
"Osceola","Brevard",46.24
"Osceola","Orange",30219.05
"Osceola","Polk",352.25
"Osceola","Seminole",2808
"Osceola","Volusia",25.86
"Polk","Orange",7058.1
"Polk","Osceola",3921.63
"Polk","Seminole",1109.99
"Seminole","Lake",78.31
"Seminole","Orange",65853.76
"Seminole","Osceola",2055.38
"Sumter","Orange",700.54
"Sumter","Osceola",121.53
"Sumter","Seminole",115.9
"Volusia","Orange",6675.11
"Volusia","Osceola",468.92
"Volusia","Seminole",8813.28
