"source","target","value"
"Brevard","Indian River",28952.36
"Brevard","Lake",4909.03
"Brevard","Orange",107581.53
"Brevard","Osceola",17545.85
"Brevard","Polk",6737.6
"Brevard","Seminole",8852.88
"Brevard","Sumter",4157.96
"Brevard","Volusia",48367.91
"Indian River","Brevard",30853.81
"Indian River","Lake",1523.27
"Indian River","Orange",26061.75
"Indian River","Osceola",6240.79
"Indian River","Polk",4014.1
"Indian River","Seminole",3126.13
"Indian River","Sumter",1508.07
"Indian River","Volusia",11074.35
"Lake","Brevard",4764.92
"Lake","Indian River",1287.61
"Lake","Orange",93789.26
"Lake","Osceola",22931.79
"Lake","Polk",17733.07
"Lake","Seminole",12157.04
"Lake","Sumter",61176.67
"Lake","Volusia",18778.22
"Orange","Brevard",124681.24
"Orange","Indian River",25443.95
"Orange","Lake",93700.49
"Orange","Osceola",762841.97
"Orange","Polk",160853.98
"Orange","Seminole",145734.47
"Orange","Sumter",55054.93
"Orange","Volusia",150056.78
"Osceola","Brevard",21485.1
"Osceola","Indian River",5715.86
"Osceola","Lake",27113.82
"Osceola","Orange",894537.58
"Osceola","Polk",75091.98
"Osceola","Seminole",17642.82
"Osceola","Sumter",12129.22
"Osceola","Volusia",31856.65
"Polk","Brevard",10777.17
"Polk","Indian River",3692.72
"Polk","Lake",21937.37
"Polk","Orange",211582.4
"Polk","Osceola",90959.26
"Polk","Seminole",12929.91
"Polk","Sumter",13261.62
"Polk","Volusia",25008.42
"Seminole","Brevard",10835.7
"Seminole","Indian River",2172.96
"Seminole","Lake",12395.96
"Seminole","Orange",160645.27
"Seminole","Osceola",18808.75
"Seminole","Polk",10669.55
"Seminole","Sumter",4205.15
"Seminole","Volusia",46689.63
"Sumter","Brevard",4765.43
"Sumter","Indian River",1532.84
"Sumter","Lake",63835.67
"Sumter","Orange",62351.93
"Sumter","Osceola",12087.59
"Sumter","Polk",15722.04
"Sumter","Seminole",6516.55
"Sumter","Volusia",3143.2
"Volusia","Brevard",42373.34
"Volusia","Indian River",8473.64
"Volusia","Lake",18650.05
"Volusia","Orange",150979.41
"Volusia","Osceola",34032.36
"Volusia","Polk",16906.98
"Volusia","Seminole",43078.99
"Volusia","Sumter",2669.69
