"source","target","value"
"Brevard","Indian River",39.71
"Brevard","Orange",2419.07
"Brevard","Osceola",253.18
"Brevard","Seminole",256.07
"Indian River","Brevard",50.03
"Indian River","Volusia",24.65
"Lake","Orange",10605.06
"Lake","Osceola",997.14
"Lake","Polk",39.03
"Lake","Seminole",2303.79
"Orange","Brevard",63.63
"Orange","Lake",117.46
"Orange","Osceola",1534.65
"Orange","Polk",28.37
"Orange","Seminole",2975.74
"Orange","Volusia",179.29
"Osceola","Orange",2921.78
"Osceola","Polk",115.49
"Osceola","Seminole",178.85
"Polk","Orange",5985.06
"Polk","Osceola",2967.27
"Polk","Seminole",254.48
"Seminole","Brevard",24.1
"Seminole","Lake",62.18
"Seminole","Orange",3519.3
"Seminole","Osceola",44.27
"Sumter","Orange",323.37
"Sumter","Osceola",32.05
"Sumter","Seminole",115.34
"Volusia","Orange",5526.54
"Volusia","Seminole",8674.77
