"source","target","value"
"Brevard","Orange",27.96
"Lake","Orange",240.17
"Orange","Brevard",152.48
"Orange","Lake",88.03
"Orange","Osceola",91732.78
"Orange","Polk",229.83
"Orange","Seminole",163255.52
"Orange","Volusia",67.73
"Osceola","Brevard",25.91
"Osceola","Lake",7.25
"Osceola","Orange",49662.51
"Osceola","Polk",171.23
"Osceola","Seminole",2096.43
"Polk","Orange",356.7
"Polk","Osceola",325.66
"Seminole","Orange",86580.05
"Seminole","Osceola",2667.39
"Seminole","Volusia",115.92
"Volusia","Orange",6.63
"Volusia","Seminole",94.79
